기준일,구,행정동명,행정동코드,건물수,평균사용승인연도,평균건물나이_년,최소사용승인일,최대사용승인일,포함법정동명
2026-04-15,강서구,가양제3동,1150060500,3,1993.67,32.36,1987-01-05,2001-08-16,가양동
2026-04-15,강서구,등촌제3동,1150053500,20,2004,21.75,1964-08-18,2022-07-12,등촌동
2026-04-15,강서구,발산제1동,1150061100,5,2004.2,21.53,2003-02-05,2009-12-16,외발산동
2026-04-15,강서구,방화제1동,1150063000,42,2000.71,24.95,1965-07-29,2024-10-24,공항동 / 마곡동
2026-04-15,강서구,방화제2동,1150064000,4,1990.25,35.56,1980-10-17,2015-07-22,개화동
2026-04-15,강서구,방화제3동,1150064100,25,1996.28,29.41,1971-11-05,2021-02-26,방화동
2026-04-15,강서구,염창동,1150051000,9,2003.33,22.41,1978-08-31,2020-10-27,염창동
2026-04-15,강서구,우장산동,1150061500,136,1997.91,27.78,1969-09-15,2024-07-05,내발산동 / 화곡동
2026-04-15,마포구,공덕동,1144056500,11,1991.73,34.12,1942-07-23,2023-07-28,신공덕동 / 아현동
2026-04-15,마포구,망원제2동,1144070000,83,1994.49,31.21,1969-08-18,2025-12-22,망원동
2026-04-15,마포구,상암동,1144074000,33,1999.58,26.15,1967-12-07,2017-11-15,상암동
2026-04-15,마포구,서강동,1144065500,79,1994.15,31.54,1961-12-31,2022-06-08,당인동 / 상수동 / 창전동
2026-04-15,마포구,서교동,1144066000,424,1994.05,31.64,1916-07-01,2026-01-23,노고산동 / 동교동 / 서교동
2026-04-15,마포구,성산제2동,1144073000,76,1996.8,28.89,1967-05-23,2025-05-16,성산동 / 중동
2026-04-15,마포구,신수동,1144063000,36,1993.67,32.04,1959-07-25,2024-01-09,구수동 / 대흥동 / 신수동
2026-04-15,마포구,연남동,1144071000,232,1993.69,32.02,1966-12-31,2023-06-26,연남동
2026-04-15,마포구,염리동,1144061000,48,1989.33,36.4,1961-05-20,2021-07-26,공덕동 / 염리동
2026-04-15,마포구,용강동,1144059000,52,1995.4,30.31,1962-12-01,2022-07-29,도화동 / 마포동 / 용강동
2026-04-15,마포구,합정동,1144068000,81,1994.57,31.1,1967-11-01,2026-01-30,합정동
2026-04-15,서초구,내곡동,1165066000,1,2018,7.77,2018-07-09,2018-07-09,신원동
2026-04-15,서초구,반포3동,1165058000,6,1995.83,29.7,1981-12-15,2009-03-30,잠원동
2026-04-15,서초구,반포4동,1165058100,16,1996.81,28.81,1980-12-09,2007-11-19,반포동
2026-04-15,서초구,방배4동,1165062100,22,1993.64,32.2,1969-10-25,2020-10-21,방배동
2026-04-15,서초구,서초4동,1165053100,32,2007,18.79,1978-02-01,2025-01-22,서초동
2026-04-15,서초구,양재1동,1165065100,2,2020,5.85,2018-08-10,2022-04-08,우면동
2026-04-15,서초구,양재2동,1165065200,9,1996,29.7,1990-12-10,2011-04-07,양재동
2026-04-15,송파구,가락2동,1171063200,8,1997.12,28.62,1989-01-26,2019-11-26,가락동
2026-04-15,송파구,마천2동,1171055000,2,1971,54.81,1971-05-31,1971-07-15,마천동
2026-04-15,송파구,삼전동,1171061000,23,1997.48,28.23,1983-09-16,2019-05-22,삼전동
2026-04-15,송파구,석촌동,1171060000,43,1996.26,29.48,1981-09-09,2019-04-12,석촌동
2026-04-15,송파구,송파2동,1171059000,31,1998.32,27.42,1984-07-31,2022-07-29,송파동
2026-04-15,송파구,오금동,1171057000,5,2006.2,19.6,1989-07-05,2023-03-24,오금동
2026-04-15,송파구,오륜동,1171056600,54,1997.96,27.69,1983-10-28,2025-12-31,방이동
2026-04-15,송파구,위례동,1171064700,5,1990.2,35.71,1973-09-01,2022-01-28,거여동
2026-04-15,송파구,잠실6동,1171071000,4,2015.75,10.2,2008-08-29,2021-06-30,신천동
2026-04-15,송파구,잠실7동,1171072000,49,1996.43,29.21,1978-04-15,2019-07-12,잠실동
2026-04-15,송파구,장지동,1171064600,9,2003.56,22.23,1987-07-11,2023-06-20,문정동
2026-04-15,송파구,풍납2동,1171052000,8,1998.88,26.72,1990-06-02,2016-04-14,풍납동
2026-04-15,영등포구,당산제1동,1156055000,39,1991.67,34.06,1943-08-02,2025-03-10,당산동1가 / 당산동2가 / 당산동3가
2026-04-15,영등포구,당산제2동,1156056000,13,1990.85,34.84,1964-02-16,2014-03-14,당산동 / 당산동4가 / 당산동5가 / 당산동6가
2026-04-15,영등포구,대림제3동,1156072000,20,1980.95,44.65,1967-08-31,2022-09-27,대림동
2026-04-15,영등포구,도림동,1156058500,8,1997,28.71,1983-12-27,2024-02-02,도림동
2026-04-15,영등포구,문래동,1156060500,3,1995,30.73,1980-11-04,2003-06-19,문래동2가 / 문래동3가 / 문래동4가
2026-04-15,영등포구,신길제7동,1156069000,62,1981.44,44.26,1960-11-05,2022-11-25,신길동
2026-04-15,영등포구,양평제1동,1156061000,12,1999.67,25.91,1965-05-30,2022-04-29,양평동1가 / 양평동2가
2026-04-15,영등포구,양평제2동,1156062000,21,2000.38,25.34,1968-12-04,2025-07-01,양평동3가 / 양평동4가 / 양평동5가
2026-04-15,영등포구,여의동,1156054000,11,2002.36,23.35,1971-12-21,2020-07-14,여의도동
2026-04-15,영등포구,영등포동,1156053500,96,1991.58,34.08,1930-03-25,2023-06-20,영등포동 / 영등포동1가 / 영등포동2가 / 영등포동3가 / 영등포동4가 / 영등포동5가 / 영등포동6가 / 영등포동7가 / 영등포동8가
2026-04-15,용산구,남영동,1117053000,58,1974.86,50.85,1930-11-20,2016-11-03,갈월동 / 남영동 / 동자동
2026-04-15,용산구,보광동,1117070000,15,1983.13,42.51,1967-10-20,1997-11-07,보광동
2026-04-15,용산구,서빙고동,1117069000,6,1986.5,39.1,1973-06-13,2009-12-10,동빙고동 / 서빙고동
2026-04-15,용산구,용문동,1117059000,5,1996.2,29.47,1958-10-01,2019-01-18,용문동
2026-04-15,용산구,용산2가동,1117052000,33,1995.03,30.84,1976-02-06,2020-09-11,용산동2가
2026-04-15,용산구,원효로제1동,1117056000,13,1982.69,43.04,1954-12-14,2015-03-27,문배동 / 원효로1가 / 원효로2가
2026-04-15,용산구,원효로제2동,1117057000,7,1983.71,41.86,1966-09-27,2005-03-03,산천동 / 신창동 / 원효로3가 / 원효로4가
2026-04-15,용산구,이촌제2동,1117064000,8,1989,36.76,1970-06-30,2009-09-18,이촌동
2026-04-15,용산구,이태원제2동,1117066000,128,1992,33.76,1955-09-27,2024-07-19,이태원동
2026-04-15,용산구,청파동,1117055500,103,1986.77,38.96,1934-05-30,2023-05-01,서계동 / 청파동1가 / 청파동2가 / 청파동3가
2026-04-15,용산구,한강로동,1117062500,25,1987.44,38.33,1959-04-08,2023-02-28,용산동3가 / 한강로1가 / 한강로2가 / 한강로3가
2026-04-15,용산구,한남동,1117068500,20,1986.8,38.95,1966-02-26,2022-01-18,한남동
2026-04-15,용산구,효창동,1117058000,5,1993,32.75,1967-10-18,2018-07-02,효창동
2026-04-15,용산구,후암동,1117051000,63,1988.38,37.35,1930-10-30,2025-12-08,후암동
2026-04-15,종로구,가회동,1111060000,10,2001.2,24.48,1996-07-22,2021-07-14,계동 / 원서동
2026-04-15,종로구,교남동,1111058000,10,1992.5,33.17,1959-02-02,2019-07-23,교북동 / 행촌동
2026-04-15,종로구,무악동,1111057000,1,1992,34.2,1992-01-31,1992-01-31,무악동
2026-04-15,종로구,부암동,1111055000,17,1997.82,27.88,1967-07-03,2025-10-24,부암동 / 신영동 / 홍지동
2026-04-15,종로구,사직동,1111053000,23,1990.96,34.74,1963-06-11,2022-06-28,내수동 / 당주동 / 사직동 / 신문로2가 / 체부동 / 통의동 / 필운동
2026-04-15,종로구,삼청동,1111054000,9,1980.11,45.54,1940-04-04,2018-06-04,사간동 / 삼청동 / 소격동 / 팔판동 / 화동
2026-04-15,종로구,숭인제2동,1111071000,74,1988.32,37.37,1930-10-05,2024-12-26,숭인동
2026-04-15,종로구,이화동,1111064000,50,1994.86,30.86,1960-10-05,2025-01-20,동숭동 / 연건동 / 이화동
2026-04-15,종로구,종로1.2.3.4가동,1111061500,147,1994.67,31.06,1958-10-31,2023-04-21,견지동 / 관수동 / 관철동 / 관훈동 / 권농동 / 낙원동 / 돈의동 / 묘동 / 봉익동 / 수송동 / 운니동 / 원남동 / 익선동 / 인사동 / 인의동 / 장사동 / 종로2가 / 종로4가 / 청진동
2026-04-15,종로구,종로5.6가동,1111063000,49,1987.35,38.42,1935-05-08,2023-01-20,연지동 / 종로5가 / 종로6가 / 충신동 / 효제동
2026-04-15,종로구,창신제3동,1111069000,75,1979.56,46.09,1932-06-05,2022-09-28,창신동
2026-04-15,종로구,청운효자동,1111051500,52,1996.54,29.2,1949-06-20,2024-11-27,누상동 / 누하동 / 신교동 / 옥인동 / 창성동 / 청운동 / 통인동 / 효자동
2026-04-15,종로구,평창동,1111056000,7,1991.29,34.46,1982-06-14,2004-07-31,구기동 / 평창동
2026-04-15,종로구,혜화동,1111065000,44,1991.25,34.39,1960-09-30,2022-08-09,명륜1가 / 명륜2가 / 명륜3가 / 명륜4가 / 와룡동 / 혜화동
2026-04-15,중구,광희동,1114059000,90,1995.11,30.61,1955-11-20,2024-02-06,광희동1가 / 광희동2가 / 쌍림동 / 예관동 / 오장동 / 을지로6가 / 을지로7가 / 인현동2가 / 충무로4가 / 충무로5가
2026-04-15,중구,동화동,1114066500,61,1985.31,40.37,1936-10-24,2026-01-28,신당동
2026-04-15,중구,명동,1114055000,201,1985.53,40.14,1913-10-22,2025-08-20,남대문로2가 / 남산동1가 / 남산동2가 / 남산동3가 / 다동 / 명동1가 / 명동2가 / 무교동 / 을지로1가 / 을지로2가 / 장교동 / 저동1가 / 충무로1가 / 충무로2가 / 태평로1가 / 회현동1가 / 회현동2가 / 회현동3가
2026-04-15,중구,소공동,1114052000,25,1992.44,33.28,1934-10-30,2024-12-30,북창동 / 서소문동 / 소공동 / 태평로2가
2026-04-15,중구,신당동,1114061500,6,1981,44.64,1969-10-01,1991-01-16,무학동 / 흥인동
2026-04-15,중구,을지로동,1114060500,53,1986.85,38.83,1931-08-14,2024-09-12,산림동 / 을지로3가 / 을지로4가 / 을지로5가 / 인현동1가 / 입정동 / 저동2가 / 주교동 / 초동
2026-04-15,중구,장충동,1114058000,33,1981.06,44.71,1936-10-01,2025-04-15,묵정동 / 장충동1가 / 장충동2가
2026-04-15,중구,중림동,1114068000,22,1985.73,39.89,1960-12-31,2022-04-20,만리동1가 / 만리동2가 / 중림동
2026-04-15,중구,필동,1114057000,44,1989.02,36.8,1955-09-10,2025-08-29,남학동 / 예장동 / 주자동 / 충무로3가 / 필동1가 / 필동2가 / 필동3가
2026-04-15,중구,황학동,1114067000,34,1988.62,37.03,1955-07-01,2025-01-10,황학동
2026-04-15,중구,회현동,1114054000,25,1993.12,32.55,1960-11-15,2025-11-04,남대문로3가 / 남대문로4가 / 남대문로5가 / 남창동 / 순화동
