화재번호,발생일자,발생시군구,화재유형,발화요인_대분류,발화요인_소분류,발화장소_대분류,발화장소_중분류,재산피해액(천원),재산피해액_백만원,사망자수,부상자수,인명피해계,위도,경도
190922135220536,20190922,중구,건축/구조물,미상,미상,판매/업무시설,판매시설,71613336,71613.336,0,0,0,37.5684404,127.0113839
190329070442067,20190329,영등포구,건축/구조물,방화,방화,주거,기타주택,2397753,2397.753,0,2,2,37.5163513,126.9050452
210214121842554,20210214,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,판매시설,1586332,1586.332,0,3,3,37.5638555,126.9839949
230120162439271,20230120,강남구,건축/구조물,전기적 요인,접촉불량에 의한 단락,주거,기타주택,1083514,1083.514,0,0,0,37.47698377,127.0640769
170310220010413,20170310,마포구,건축/구조물,부주의,용접/ 절단/ 연마,판매/업무시설,일반업무,980712,980.712,0,1,1,37.5819342,126.8892357
190816204319636,20190815,중구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,일반업무,782053,782.053,0,0,0,37.5576489,126.9759062
201006214341768,20201006,마포구,건축/구조물,부주의,음식물 조리중,주거,공동주택,765935,765.935,0,3,3,37.5399473,126.9455565
200126135949809,20200126,중구,건축/구조물,전기적 요인,트래킹에 의한 단락,판매/업무시설,숙박시설,507760,507.76,0,4,4,37.5602234,127.0022471
201216101705874,20201215,강남구,건축/구조물,전기적 요인,미확인단락,판매/업무시설,일반업무,500459,500.459,0,0,0,37.5046476,127.0412877
170925050654729,20170924,종로구,건축/구조물,미상,미상,산업시설,공장시설,493223,493.223,0,0,0,37.5722232,127.0195704
220319171744939,20220319,성동구,건축/구조물,전기적 요인,접촉불량에 의한 단락,판매/업무시설,판매시설,485510,485.51,0,2,2,37.570921,127.041424
190214200907574,20190214,중구,건축/구조물,기계적 요인,기타(기계적요인),산업시설,작업장,478660,478.66,0,0,0,37.5668269,126.996895
220408020029086,20220407,중구,건축/구조물,미상,미상,산업시설,작업장,474137,474.137,0,3,3,37.562076,126.994384
200120152024040,20200120,마포구,건축/구조물,미상,미상,집합시설,운동시설,464763,464.763,0,0,0,37.555817,126.9437394
230323195423834,20230323,영등포구,건축/구조물,전기적 요인,절연열화에 의한 단락,산업시설,공장시설,442672,442.672,0,0,0,37.51440074,126.8922023
220304185415025,20220304,성동구,건축/구조물,미상,미상,산업시설,작업장,437587,437.587,0,0,0,37.538592,127.060578
190115064451568,20190115,성동구,건축/구조물,전기적 요인,트래킹에 의한 단락,산업시설,창고시설,409929,409.929,0,0,0,37.5691319,127.0387829
220701171330999,20220701,중구,건축/구조물,미상,미상,판매/업무시설,일반업무,357783,357.783,0,2,2,37.56282,126.989543
191115220946395,20191115,서초구,건축/구조물,미상,미상,판매/업무시설,판매시설,317163,317.163,0,15,15,37.4970946,127.0237321
170330202028001,20170311,영등포구,건축/구조물,가스누출(폭발),가스누출(폭발),판매/업무시설,일반업무,307549,307.549,0,3,3,37.5013344,126.8986258
230404050356671,20230403,중구,건축/구조물,미상,미상,산업시설,작업장,306142,306.142,0,2,2,37.56315579,126.9967044
231021071940646,20231021,중구,건축/구조물,방화,방화,주거,공동주택,285639,285.639,0,2,2,37.56805924,126.9942429
200423132426211,20200423,마포구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,277200,277.2,0,0,0,37.5408431,126.936475
211229162617559,20211228,송파구,자동차/철도차량,전기적 요인,절연열화에 의한 단락,자동차/철도차량,자동차,268048,268.048,0,0,0,37.5167061,127.1135153
200315101355013,20200314,성동구,건축/구조물,미상,미상,산업시설,공장시설,266796,266.796,0,0,0,37.5462696,127.0591559
190919173847766,20190919,중구,건축/구조물,부주의,음식물 조리중,생활서비스,음식점,255964,255.964,0,1,1,37.5633578,126.9854675
180920081316506,20180920,영등포구,건축/구조물,전기적 요인,트래킹에 의한 단락,판매/업무시설,판매시설,249804,249.804,0,0,0,37.5201749,126.9076395
191030194921137,20191030,송파구,건축/구조물,미상,미상,운수자동차시설,자동차시설,247341,247.341,0,5,5,37.5160971,127.1116491
181226222546565,20181226,강남구,건축/구조물,미상,미상,판매/업무시설,일반업무,243913,243.913,0,1,1,37.5184643,127.0429481
221215014022591,20221214,중구,건축/구조물,부주의,기타(부주의),생활서비스,일상서비스,243703,243.703,0,1,1,37.560912,126.97835
210605015839383,20210604,중구,자동차/철도차량,부주의,가연물 근접방치,자동차/철도차량,자동차,231217,231.217,0,2,2,37.5557928,127.0156881
171019194316012,20171019,강남구,건축/구조물,부주의,용접/ 절단/ 연마,판매/업무시설,숙박시설,229936,229.936,0,0,0,37.5108195,127.0469239
240322212329719,20240322,영등포구,건축/구조물,미상,미상,판매/업무시설,판매시설,227067,227.067,0,1,1,37.52616442,126.9310342
230216093322398,20230216,강서구,건축/구조물,전기적 요인,미확인단락,운수자동차시설,자동차시설,225927,225.927,0,0,0,37.54889992,126.8755682
240620233254553,20240620,강남구,건축/구조물,부주의,용접/ 절단/ 연마,주거,공동주택,225720,225.72,0,4,4,37.49974924,127.0472881
190707093727371,20190707,영등포구,건축/구조물,부주의,불씨/불꽃/화원방치,판매/업무시설,숙박시설,220791,220.791,0,32,32,37.5184985,126.9101142
211124080609381,20211123,중구,건축/구조물,부주의,음식물 조리중,생활서비스,음식점,218699,218.699,0,0,0,37.5668228,126.9928127
191001211659317,20191001,송파구,건축/구조물,기타,기타,운수자동차시설,자동차시설,216001,216.001,0,0,0,37.5077052,127.1032648
210823165438704,20210823,영등포구,건축/구조물,부주의,용접/ 절단/ 연마,집합시설,종교시설,214049,214.049,0,0,0,37.5099498,126.8970877
231112234935089,20231112,마포구,건축/구조물,미상,미상,주거,공동주택,211320,211.32,0,0,0,37.557019,126.9537462
220809050809430,20220808,강남구,건축/구조물,전기적 요인,트래킹에 의한 단락,주거,공동주택,196297,196.297,0,1,1,37.513753,127.04822
220522041915087,20220521,영등포구,건축/구조물,전기적 요인,기타(전기적요인),교육시설,학교,195842,195.842,0,0,0,37.524759,126.934089
171201124759783,20171201,송파구,건축/구조물,미상,미상,운수자동차시설,자동차시설,194118,194.118,0,0,0,37.4937594,127.1246965
231127111603290,20231127,마포구,건축/구조물,방화의심,방화의심,집합시설,공연장,191942,191.942,1,0,1,37.55120202,126.9196887
180223004222245,20180222,중구,건축/구조물,미상,미상,산업시설,작업장,191789,191.789,0,0,0,37.5674909,126.9931652
241215043023360,20241215,영등포구,건축/구조물,전기적 요인,미확인단락,산업시설,공장시설,188051,188.051,0,0,0,37.52891735,126.8933619
230521212715317,20230521,영등포구,건축/구조물,부주의,담배꽁초,운수자동차시설,자동차시설,184618,184.618,0,0,0,37.51881545,126.8896424
230319195743639,20230319,강남구,자동차/철도차량,미상,미상,자동차/철도차량,자동차,183780,183.78,0,0,0,37.52313783,127.0420702
220103231615491,20220103,송파구,건축/구조물,가스누출(폭발),가스누출(폭발),주거,단독주택,182050,182.05,0,0,0,37.504761,127.134173
230930060226589,20230930,성동구,건축/구조물,미상,미상,판매/업무시설,판매시설,181193,181.193,0,0,0,37.57013703,127.0378525
170608225606900,20170608,영등포구,자동차/철도차량,방화,방화,자동차/철도차량,자동차,179752,179.752,0,1,1,37.528302,126.9083473
170524153219346,20170524,중구,건축/구조물,미상,미상,산업시설,작업장,175619,175.619,3,1,4,37.5663826,127.0011138
241219162727265,20241219,강서구,자동차/철도차량,전기적 요인,미확인단락,자동차/철도차량,자동차,174654,174.654,0,0,0,37.5482679,126.8781865
210612205958188,20210612,강서구,건축/구조물,전기적 요인,미확인단락,산업시설,창고시설,174338,174.338,0,0,0,37.5464786,126.8234835
241010152020170,20241010,강서구,건축/구조물,부주의,음식물 조리중,생활서비스,음식점,173784,173.784,0,0,0,37.5296301,126.8476866
240805023432439,20240804,강남구,건축/구조물,전기적 요인,미확인단락,의료/복지시설,의료시설,168394,168.394,0,0,0,37.52159171,127.0285204
241128032621217,20241128,중구,건축/구조물,전기적 요인,트래킹에 의한 단락,판매/업무시설,일반업무,167778,167.778,0,1,1,37.56588698,127.0055617
240110025908127,20240109,영등포구,건축/구조물,부주의,음식물 조리중,판매/업무시설,일반업무,167702,167.702,0,2,2,37.52173858,126.9279189
241218161457631,20241218,서초구,건축/구조물,미상,미상,주거,공동주택,166965,166.965,0,1,1,37.51280839,127.0159758
190911182556516,20190911,중구,건축/구조물,전기적 요인,절연열화에 의한 단락,산업시설,작업장,157495,157.495,0,0,0,37.5647901,126.9946346
230304004731718,20230303,강남구,건축/구조물,미상,미상,주거,기타주택,153349,153.349,0,0,0,37.46437371,127.1101798
191113051025149,20191113,강남구,건축/구조물,부주의,담배꽁초,운수자동차시설,자동차시설,152554,152.554,0,0,0,37.5078,127.0669973
170329200417008,20170329,강남구,건축/구조물,부주의,기타(부주의),기타서비스,기타건축물,151785,151.785,0,1,1,37.4784876,127.0655503
181101210020981,20181101,중구,건축/구조물,미상,미상,산업시설,작업장,150443,150.443,0,1,1,37.5575949,127.014417
210104102524685,20210104,강남구,기타(쓰레기 화재등),부주의,담배꽁초,기타,야외,148219,148.219,0,0,0,37.5029775,127.0398422
190202203725018,20190202,종로구,건축/구조물,미상,미상,판매/업무시설,일반업무,141476,141.476,0,0,0,37.5751052,126.9891555
211119182104335,20211119,성동구,건축/구조물,부주의,불씨/불꽃/화원방치,산업시설,작업장,138193,138.193,0,0,0,37.5402636,127.0619212
220304234713718,20220304,강남구,건축/구조물,미상,미상,주거,기타주택,130248,130.248,0,0,0,37.478126,127.065175
241216231202112,20241216,송파구,건축/구조물,전기적 요인,절연열화에 의한 단락,판매/업무시설,일반업무,129409,129.409,0,0,0,37.48685082,127.1204963
170109063325549,20170109,영등포구,건축/구조물,부주의,불씨/불꽃/화원방치,생활서비스,일상서비스,128827,128.827,0,0,0,37.5189092,126.9007249
180529093313142,20180529,중구,건축/구조물,방화,방화,주거,공동주택,128292,128.292,0,14,14,37.5624045,126.995957
180319191232003,20180319,송파구,건축/구조물,부주의,음식물 조리중,생활서비스,음식점,126810,126.81,0,0,0,37.5005361,127.1514038
220121012435561,20220120,강서구,건축/구조물,미상,미상,판매/업무시설,숙박시설,126734,126.734,0,0,0,37.528757,126.846657
180525103417707,20180524,서초구,건축/구조물,전기적 요인,미확인단락,주거,단독주택,124196,124.196,0,3,3,37.4900019,126.9959038
200703231741464,20200703,종로구,건축/구조물,부주의,음식물 조리중,생활서비스,음식점,124178,124.178,0,0,0,37.5694309,126.9813261
171116162140970,20171116,서초구,건축/구조물,부주의,용접/ 절단/ 연마,교육시설,학교,122912,122.912,0,0,0,37.4897132,127.0155532
220124143548118,20220124,중구,건축/구조물,미상,미상,산업시설,작업장,120781,120.781,0,0,0,37.564417,127.021537
220919085952549,20220918,중구,건축/구조물,미상,미상,산업시설,작업장,120662,120.662,0,0,0,37.556688,127.01145
180224173037078,20180224,중구,건축/구조물,부주의,가연물 근접방치,산업시설,작업장,119339,119.339,0,0,0,37.567765,126.997402
210121005834684,20210120,강남구,건축/구조물,부주의,음식물 조리중,주거,공동주택,118134,118.134,0,0,0,37.50666,127.0386458
221223121049837,20221223,중구,건축/구조물,미상,미상,생활서비스,오락시설,116310,116.31,0,0,0,37.554745,127.011598
190827200722910,20190827,중구,건축/구조물,미상,미상,판매/업무시설,일반업무,115470,115.47,0,1,1,37.5632311,126.9772628
170617041058479,20170617,종로구,건축/구조물,미상,미상,산업시설,창고시설,114108,114.108,0,0,0,37.573308,127.0050937
220810090919496,20220810,중구,건축/구조물,전기적 요인,누전/지락,산업시설,창고시설,113843,113.843,0,0,0,37.567661,126.99848
241120061031418,20241120,종로구,건축/구조물,전기적 요인,미확인단락,산업시설,작업장,108928,108.928,0,0,0,37.57830401,127.0122845
220319074605399,20220319,강남구,건축/구조물,미상,미상,판매/업무시설,판매시설,107420,107.42,0,0,0,37.464302,127.1067
201210035854078,20201209,용산구,자동차/철도차량,교통사고,교통사고,자동차/철도차량,자동차,105306,105.306,0,0,0,37.5364316,127.0047941
230422151641495,20230422,중구,건축/구조물,부주의,불씨/불꽃/화원방치,의료/복지시설,의료시설,103603,103.603,0,0,0,37.56436791,126.9689266
170106061042052,20170106,종로구,건축/구조물,방화,방화,산업시설,작업장,103557,103.557,0,0,0,37.575654,127.0030592
200701004122977,20200630,마포구,건축/구조물,부주의,음식물 조리중,판매/업무시설,판매시설,103400,103.4,0,2,2,37.5501292,126.9136498
180603064027108,20180602,서초구,건축/구조물,미상,미상,판매/업무시설,판매시설,100818,100.818,0,0,0,37.4808764,127.0009611
220525125309548,20220525,중구,건축/구조물,미상,미상,산업시설,창고시설,100054,100.054,0,0,0,37.565008,127.008734
210504015455149,20210503,종로구,건축/구조물,미상,미상,주거,단독주택,99636,99.636,0,1,1,37.5793597,127.0158759
210331110426433,20210331,종로구,건축/구조물,미상,미상,산업시설,창고시설,99237,99.237,0,0,0,37.570839,127.0149701
220506221707247,20220506,송파구,건축/구조물,부주의,용접/ 절단/ 연마,기타서비스,기타건축물,97807,97.807,0,0,0,37.501046,127.107679
241002171125066,20241002,중구,건축/구조물,부주의,용접/ 절단/ 연마,판매/업무시설,숙박시설,96197,96.197,0,0,0,37.56522454,127.0189363
240108143023607,20240108,성동구,건축/구조물,기계적 요인,과열/ 과부하,운수자동차시설,자동차시설,96153,96.153,0,0,0,37.54979473,127.0515579
200714085105169,20200714,종로구,건축/구조물,미상,미상,생활서비스,음식점,96123,96.123,0,0,0,37.569027,126.9867851
190202225912667,20190202,송파구,건축/구조물,미상,미상,판매/업무시설,일반업무,95657,95.657,0,0,0,37.4831762,127.1280673
180419172604024,20180419,송파구,건축/구조물,미상,미상,기타서비스,기타건축물,95154,95.154,0,0,0,37.5126483,127.1404501
